kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.154046,5.034292,-0.042179,1.233,0.111,-0.1,5853,20.787246116379308,679.3390537802852,-5.936148219163245,1271,10811496,19.899,0.93,2.967421834766064e-22,2.5836511428619358e-11,0.0,0.93,0.0
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.0365949999999999,0.0001,-0.003401,1.097,0.097,-0.087,5942,4.393512179949019,0.38867287158145575,-0.5367780272720285,680,7938496,13.81,0.046,0.982809634784538,0.0031916008879900406,0.999943996833065,0.046,0.953946572978744
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.221,0.107,-0.097,5776,1.6806457457997734,0.16587171796605846,-0.1496004977145607,1523,3660924,4.242,0.001,0.982809634784538,0.06340148674813968,0.9988159728084276,0.001,0.9978171568356192
4150624,K01334.02,3,FALSE POSITIVE,0.0,94.225938,15.880621,1.93,0.45,-0.14,0.020742,0.000794,-0.000728,0.931,0.077,-0.07,5421,2.1134100414359427,0.1926075441295151,-0.1753632623680862,1534,4150624,94.226,0.064,0.982809634784538,0.27542334053719986,0.9933513710017104,0.064,0.9297768832576009
4150624,K01334.01,1,FALSE POSITIVE,0.0,8.6531216,28.871054,22.58,5.25,-1.64,0.2427,36.03447,-0.627551,0.931,0.077,-0.07,5421,24.72879264567078,3671.5660279366466,-63.96843023526165,1500,4150624,8.653,1.0,0.982809634784538,0.012074352323293224,0.9997862258038677,1.0,0.0
11913073,K00011.01,1,FALSE POSITIVE,0.0,3.747838198,98.60031,13.65,3.11,-1.04,0.151387,1.08874,-0.03297,0.953,0.071,-0.064,5514,15.789374986266674,113.5595955848778,-3.5984815441788607,392,11913073,3.748,1.0,0.9828096346499741,1.5257005507855076e-06,0.9999999733138657,1.0,0.0
8255887,K00908.01,1,CANDIDATE,1.0,4.7083264510000005,619.7065,10.6,2.85,-2.56,0.080242,0.0001629999999999,-0.0001149999999999,1.142,0.095,-0.086,5560,10.028853894223507,0.8345228827415899,-0.7553744383687864,763,8255887,4.708,0.0012,3.779476454952847e-169,2.242017851241894e-35,0.0,0.0012,0.0
6387450,K01228.01,1,FALSE POSITIVE,0.0,3.661326482,1846.5966,12.07,1.66,-1.5,0.138476,0.000571,-0.000609,1.125,0.091,-0.083,5319,17.049454497545934,1.3809021721817623,-1.2601036928140326,1571,6387450,3.661,0.16,0.0,2.733957530195547e-103,0.0,0.16,0.0
6422070,K00852.01,1,CANDIDATE,0.876,3.76181843,29.971922,2.66,0.73,-0.26,0.025656,0.0002009999999999,-0.004673,1.113,0.096,-0.087,5653,3.1251262505663226,0.2706623101204767,-0.619416318863208,1097,6422070,3.762,2.8e-05,0.982809634784538,0.009501226511586535,0.9998322195217566,2.8e-05,0.99980422421961
8552202,K00914.01,1,CANDIDATE,1.0,3.886655224,41.233078000000006,1.87,0.36,-0.15,0.023262,0.002814,-0.001107,1.004,0.085,-0.077,5662,2.5560198360181223,0.3774025634249138,-0.23070116422799594,771,8552202,3.887,1.5e-05,0.982809634784538,0.002284631325599735,0.9999599479118435,1.5e-05,0.9999449485126248
8240904,K01070.01,1,CANDIDATE,1.0,6.61836309,27.650803000000003,2.98,0.49,-0.66,0.0211,0.000735,-0.000478,1.121,0.071,-0.066,5530,2.5886392005411527,0.18711589334806703,-0.1633016690509162,1517,8240904,6.618,5.1e-06,0.982809634784538,0.013500311874939584,0.9997606339532449,5.1e-06,0.9997555351740117
8240904,K01070.02,2,CANDIDATE,1.0,107.7214092,20.731815,4.75,0.79,-1.05,0.033622,0.00121,-0.000603,1.121,0.071,-0.066,5530,4.1248922843883715,0.3004849819499986,-0.253874863903723,1518,8240904,107.721,0.00043,0.982809634784538,0.21359514166085034,0.9952492641825349,0.00043,0.9948213069989363
10514770,K01156.01,1,FALSE POSITIVE,0.0,1.872421727,137.55992,5.65,0.81,-0.73,0.062711,0.002527,-0.000468,0.966,0.087,-0.078,5337,6.629859244934559,0.6541406469014069,-0.5376118342621762,1928,10514770,1.872,0.16,0.00044395975172663126,1.0237647027297192e-08,0.9999769503834772,0.16,0.8399806383221209
10426656,K01161.01,1,CANDIDATE,1.0,6.05729966,27.37242,1.94,0.21,-0.26,0.017666,0.000605,-0.000458,1.233,0.057,-0.054,5330,2.3838820215517247,0.13714930508781914,-0.1213250346208233,1933,10426656,6.057,1.5e-05,0.982809634784538,0.013820659781492172,0.9997548744538627,1.5e-05,0.9997398781307459
10426656,K01161.02,2,CANDIDATE,0.991,10.93725572,20.159246,2.41,0.27,-0.32,0.021998,0.002892,-0.003403,1.233,0.057,-0.054,5330,2.968449943965517,0.4136759833839955,-0.47725504595563356,1934,10426656,10.937,0.0017,0.982809634784538,0.03744053318600149,0.9993196535024773,0.0017,0.997620810091523
10426656,K01161.03,3,CANDIDATE,0.961,2.97136658,19.352438,1.52,0.17,-0.2,0.013899,0.000395,-0.000575,1.233,0.057,-0.054,5330,1.8755562219827586,0.10177810682979509,-0.11299387367691095,1935,10426656,2.971,1.5e-05,0.982809634784538,0.03522635358716216,0.999361357294066,1.5e-05,0.9993463668737067
6441738,K01246.01,1,CANDIDATE,1.0,19.03723442,22.91305,5.74,1.29,-0.93,0.018189,0.0007769999999999,-0.000452,1.145,0.057,-0.054,5248,2.27928044904669,0.1495154453869891,-0.12150393921743907,1762,6441738,19.037,0.00031,0.982809634784538,0.03140574107017537,0.9994328696967779,0.00031,0.9991230455071719
12470844,K00790.01,1,CANDIDATE,1.0,8.47237911,39.867977,2.59,0.37,-0.22,0.030119,0.000904,-0.000397,0.834,0.066,-0.06,5354,2.7490969422036238,0.2326761436221435,-0.2010688748490618,760,12470844,8.472,1.2e-05,0.982809634784538,0.0029894141684840077,0.9999475552502738,1.2e-05,0.9999355558796108
12470844,K00790.02,2,CANDIDATE,0.989,60.41893689999999,15.139797,2.36,0.34,-0.2,0.027422,0.001196,-0.000917,0.834,0.066,-0.06,5354,2.502929590926252,0.2261636228102725,-0.19856877086476646,761,12470844,60.419,0.00047,0.982809634784538,0.1712802585487546,0.9963849415508583,0.00047,0.9959166406283294
6047498,K01013.01,1,FALSE POSITIVE,0.0,0.51872711,12.037272,19.07,3.68,-1.57,0.229228,0.977822,-0.0567809999999999,0.941,0.076,-0.069,5572,23.606996970739992,100.7188392563033,-6.098408595482179,1962,6047498,0.519,1.0,0.982809634784538,0.08096256991495765,0.9984591272181605,1.0,0.0
10148521,K01084.01,1,FALSE POSITIVE,0.0,1.204274435,27.417156,1.19,0.32,-0.11,0.012855,0.003406,-0.000428,0.985,0.075,-0.068,5668,1.3857719524760885,0.3820282474334367,-0.10621220553730785,1606,10148521,1.204,0.54,0.982809634784538,0.012437133141964686,0.9997797219465876,0.54,0.4598986720954303
10351231,K01166.01,1,CANDIDATE,0.994,7.6746614,18.007523000000003,2.8,0.89,-0.29,0.025638,0.000394,-0.005301,0.988,0.084,-0.076,6063,2.7721998994462624,0.23951247862362482,-0.6115718182845351,1976,10351231,7.675,0.11,0.982809634784538,0.04562013201694399,0.9991639139712704,0.11,0.8892558834344306
10485179,K01167.01,1,FALSE POSITIVE,0.0,0.445275074,8.112607,1.21,0.21,-0.08,0.0153289999999999,0.092786,-0.001296,1.162,0.088,-0.08,5346,1.949410980147231,11.800652597370457,-0.2125470247264993,1977,10485179,0.445,1.0,0.982809634784538,0.12662920479000464,0.9974639902881434,1.0,0.0
3120431,K00798.01,1,FALSE POSITIVE,0.0,3.341913228,32.72262,21.55,3.54,-1.89,0.243351,11.27268,-0.134916,0.846,0.073,-0.066,5295,22.531336510854516,1043.714581473564,-12.614643633415202,803,3120431,3.342,1.0,0.982809634784538,0.006652592396538586,0.9998828599377297,1.0,0.0
7270230,K00876.01,1,FALSE POSITIVE,0.0,6.998099523,551.317,588.66,128.5,-46.16,6.502574,46.98216,-1.349775,0.888,0.08,-0.072,5612,631.9485542786307,4566.286525849707,-140.82917420804694,1199,7270230,6.998,,6.689539983962779e-146,1.4338689025136742e-31,0.0,1.0,0.0
3329204,K01095.01,1,CANDIDATE,0.997,51.59809554,81.96965,6.57,1.9,-0.59,0.070071,0.001149,-0.001167,1.125,0.1,-0.091,5681,8.627287949518625,0.7798093676059282,-0.7124899915072463,1650,3329204,51.598,0.5,0.9828096347842894,3.4451301987321555e-05,0.9999993973900477,0.5,0.49999969869502386
4275191,K00813.01,1,CANDIDATE,1.0,3.895936525,375.5263,7.34,1.53,-0.65,0.08689,0.000424,-0.00262,1.063,0.098,-0.088,5557,10.108495390605334,0.9332260178320401,-0.8906090888413619,889,4275191,3.896,0.00012,1.3729897035765844e-85,7.208758756794379e-22,0.0,0.00012,0.0
4476123,K00814.01,1,CANDIDATE,0.999,22.36646466,25.599396,2.32,0.38,-0.16,0.028938,0.000601,-0.001166,0.987,0.089,-0.08,5395,3.1258571032909637,0.2892450849118475,-0.2829415459905592,890,4476123,22.366,9.2e-05,0.982809634784538,0.024086191900715242,0.999568309613265,9.2e-05,0.9994763493287806
9761882,K00948.01,1,CANDIDATE,1.0,24.58716355,30.480999,2.37,0.41,-0.21,0.028979,0.005072,-0.00156,0.911,0.076,-0.069,5474,2.8892507021300027,0.5601932383282059,-0.26847628958170344,944,9761882,24.587,0.00038,0.982809634784538,0.013687725518877867,0.9997572649183217,0.00038,0.9993773571576527
