kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.001522,0.878,0.075,-0.067,6031,2.3123085789076265,0.4110068770525991,-0.2291811025543193,1273,10854555,2.526,0.001,0.9872832607319133,0.009051913981547165,0.999882341445519,0.001,0.9988824591040735
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.204865000000005,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,1.145,0.083,-0.076,6046,4.608810579772841,0.7228082225299449,-0.3337557292634899,1274,10872983,11.094,3.6e-05,0.9872832607319133,0.0009205654252159267,0.9999881316967785,3.6e-05,0.9999521321240373
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,1.145,0.083,-0.076,6046,3.274750452192927,0.3422987466622759,-0.3369870357811267,1275,10872983,4.134,6.3e-06,0.9872832607319133,0.008935561463886799,0.9998838674541228,6.3e-06,0.9998775681857579
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.000565,1.036,0.045,-0.042,5779,0.5229166974578404,0.031856115876833624,-0.06747728722289185,103,9579641,3.436,0.04,0.9872715590516932,0.13769928970799805,0.997941212408432,0.04,0.9580235639120948
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983,0.003935,-0.001417,1.145,0.083,-0.076,6046,1.877533617464762,0.5115364365167363,-0.21693376575950496,1276,10872983,2.567,7.8e-05,0.987283259629851,0.08402069736533185,0.9988184974785681,7.8e-05,0.9987405896357647
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.0365949999999999,0.0001,-0.003401,1.097,0.097,-0.087,5942,4.393512179949019,0.38867287158145575,-0.5367780272720285,680,7938496,13.81,0.046,0.9872832607319133,0.005017780326725419,0.9999350423480644,0.046,0.9539380304000534
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.842,0.036,-0.034,5487,1.1717799601057135,0.06154965140900325,-0.04958795833264916,1793,6362874,0.975,0.00027,0.9872832607319133,0.02320071428325913,0.9996940644003922,0.00027,0.9994241470030041
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.221,0.107,-0.097,5776,1.6806457457997734,0.16587171796605846,-0.1496004977145607,1523,3660924,4.242,0.001,0.9872832607200872,0.0675025042473454,0.9990675915419562,0.001,0.9980685239504142
10538176,K01301.01,1,CANDIDATE,1.0,12.69905011,25.154327,2.62,0.22,-0.17,0.027241,0.00624,-0.001791,0.774,0.051,-0.048,5291,2.307530566291216,0.5500116066046409,-0.208554339663708,1356,10538176,12.699,0.00075,0.9872832607319133,0.025533251109870675,0.9996625005377591,0.00075,0.9989127536623558
10724369,K01302.01,1,CANDIDATE,1.0,55.6391882,38.47574,3.13,0.97,-0.32,0.0298029999999999,0.002837,-0.003148,0.991,0.077,-0.07,5949,3.232340419094502,0.39717890115074167,-0.41072933650544813,1358,10724369,55.639,0.0012,0.9872832607319133,0.011936259463062076,0.9998443972450402,0.0012,0.9986445839683461
