kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.154046,5.034292,-0.042179,1.233,0.111,-0.1,5853,20.787246116379308,679.3390537802852,-5.936148219163245,1271,10811496,19.899,0.93,0.0004376628066436526,1.317735378146562e-07,0.9996990471184768,0.93,0.06997893329829333
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.000565,1.036,0.045,-0.042,5779,0.5229166974578404,0.031856115876833624,-0.06747728722289185,103,9579641,3.436,0.04,0.9913770462585563,0.09483503544026692,0.999088706501035,0.04,0.9591251582409935
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.0018859999999999,1.036,0.045,-0.042,5779,2.80903321325195,0.122203492213546,-0.24227109869262597,101,9579641,5.412,7.1e-06,0.004573901763311201,6.470669473728557e-07,0.9998591776175281,7.1e-06,0.9998520786173669
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.0151199999999999,0.000323,-0.002193,1.036,0.045,-0.042,5779,1.7143322778756491,0.08298262831470106,-0.2581766478146036,102,9579641,7.126,5.1e-05,0.9886443561057784,0.009149477433742597,0.9998939379978742,5.1e-05,0.9998429434070363
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.0365949999999999,0.0001,-0.003401,1.097,0.097,-0.087,5942,4.393512179949019,0.38867287158145575,-0.5367780272720285,680,7938496,13.81,0.046,0.9882806911813532,0.009954802291550536,0.9998807662217777,0.046,0.9538862509755759
6307521,K01126.02,2,FALSE POSITIVE,0.0,475.91706,10.978225,28.22,3.96,-3.96,0.257403,74.69797,-2.64795,0.888,0.046,-0.043,5330,25.015548260885975,7259.475232595784,-257.34220217042184,1755,6307521,475.917,1.0,0.9369451939930403,0.9915918327475636,0.0,1.0,0.0
6307521,K01126.01,1,FALSE POSITIVE,0.0,29.7452499,34.874846999999995,3.6,0.51,-0.5,0.03286,0.00047,-0.00064,0.888,0.046,-0.043,5330,3.1934783815756353,0.17161805877319256,-0.16667891076008054,1754,6307521,29.745,1.0,0.9891076124125939,0.019750814389368532,0.9997781149407323,1.0,0.0
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.842,0.036,-0.034,5487,1.1717799601057135,0.06154965140900325,-0.04958795833264916,1793,6362874,0.975,0.00027,0.9908658812906007,0.02657295031968883,0.9997483550946891,0.00027,0.9994784230388135
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.221,0.107,-0.097,5776,1.6806457457997734,0.16587171796605846,-0.1496004977145607,1523,3660924,4.242,0.001,0.9912373664000282,0.05717460078391134,0.999463920926228,0.001,0.9984644570053018
10538176,K01301.01,1,CANDIDATE,1.0,12.69905011,25.154327,2.62,0.22,-0.17,0.027241,0.00624,-0.001791,0.774,0.051,-0.048,5291,2.307530566291216,0.5500116066046409,-0.208554339663708,1356,10538176,12.699,0.00075,0.9907072674387188,0.030545415622381507,0.9997044597339513,0.00075,0.9989546813891508
