kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.000565,1.036,0.045,-0.042,5779,0.5229166974578404,0.031856115876833624,-0.06747728722289185,103,9579641,3.436,0.04,0.9687094997738583,0.06807333165842047,0.9976405313355625,0.04,0.95773491008214
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.0018859999999999,1.036,0.045,-0.042,5779,2.80903321325195,0.122203492213546,-0.24227109869262597,101,9579641,5.412,7.1e-06,1.6720115042125304e-57,6.535123013378826e-08,0.0,7.1e-06,0.0
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.0151199999999999,0.000323,-0.002193,1.036,0.045,-0.042,5779,1.7143322778756491,0.08298262831470106,-0.2581766478146036,102,9579641,7.126,5.1e-05,0.9687094997738583,0.00428596946579945,0.9998609620380197,5.1e-05,0.9998099691289557
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.0365949999999999,0.0001,-0.003401,1.097,0.097,-0.087,5942,4.393512179949019,0.38867287158145575,-0.5367780272720285,680,7938496,13.81,0.046,0.9687094997738583,0.004584430667252973,0.9998512352875598,0.046,0.953858078464332
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.842,0.036,-0.034,5487,1.1717799601057135,0.06154965140900325,-0.04958795833264916,1793,6362874,0.975,0.00027,0.9687094997738583,0.015337151527553099,0.9994968747616525,0.00027,0.9992270106054668
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.221,0.107,-0.097,5776,1.6806457457997734,0.16587171796605846,-0.1496004977145607,1523,3660924,4.242,0.001,0.9687094997738583,0.037236030661915,0.9987507122030685,0.001,0.9977519614908654
10538176,K01301.01,1,CANDIDATE,1.0,12.69905011,25.154327,2.62,0.22,-0.17,0.027241,0.00624,-0.001791,0.774,0.051,-0.048,5291,2.307530566291216,0.5500116066046409,-0.208554339663708,1356,10538176,12.699,0.00075,0.9687094997738583,0.01711644646829082,0.9994374896919069,0.00075,0.998687911574638
10538176,K01301.02,2,CANDIDATE,1.0,37.5142128,24.432262,2.68,0.22,-0.18,0.027815,0.000649,-0.001083,0.774,0.051,-0.048,5291,2.3561529569909387,0.1646966536743727,-0.17252963236919946,1357,10538176,37.514,0.00013,0.9687094997738583,0.026809374440853358,0.9991101686326941,0.00013,0.9989802843107719
10724369,K01302.01,1,CANDIDATE,1.0,55.6391882,38.47574,3.13,0.97,-0.32,0.0298029999999999,0.002837,-0.003148,0.991,0.077,-0.07,5949,3.232340419094502,0.39717890115074167,-0.41072933650544813,1358,10724369,55.639,0.0012,0.9687094997738583,0.010366363349366409,0.9996616463028156,0.0012,0.9984620523272523
10744335,K01304.01,1,CANDIDATE,0.984,4.59726613,14.917146,1.69,0.53,-0.17,0.0161669999999999,0.000745,-0.000763,0.952,0.095,-0.085,5999,1.6844178783035386,0.1851445301839753,-0.17011200983786867,1360,10744335,4.597,0.00016,0.9687094997738583,0.03679284457806783,0.9987661492965231,0.00016,0.9986063467126356
10730034,K01305.01,1,CANDIDATE,1.0,2.633852528,20.749485,1.38,0.07,-0.12,0.0144319999999999,0.0006349999999999,-0.000588,0.859,0.042,-0.04,5113,1.3567603387868015,0.08924328316574663,-0.08394769245593922,1361,10730034,2.634,1.1e-05,0.9687094997738583,0.021524706262166175,0.9992894309018584,1.1e-05,0.9992784387181185
10730034,K01305.02,2,CANDIDATE,0.978,6.18670882,11.189779,1.21,0.06,-0.1,0.01265,0.000839,-0.000473,0.859,0.042,-0.04,5113,1.18923352866222,0.09799108949078511,-0.07102105185660279,1362,10730034,6.187,0.00028,0.9687094997738583,0.05178492453974149,0.9982359315235428,0.00028,0.9979564254627163
