kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.204865000000005,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,1.145,0.083,-0.076,6046,4.608810579772841,0.7228082225299449,-0.3337557292634899,1274,10872983,11.094,3.6e-05,0.9877356790447688,0.0026246855488317174,0.999967324561021,3.6e-05,0.9999313257373368
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,1.145,0.083,-0.076,6046,3.274750452192927,0.3422987466622759,-0.3369870357811267,1275,10872983,4.134,6.3e-06,0.9877356790447888,0.014969574811678835,0.999811304047037,6.3e-06,0.9998050052358215
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983,0.003935,-0.001417,1.145,0.083,-0.076,6046,1.877533617464762,0.5115364365167363,-0.21693376575950496,1276,10872983,2.567,7.8e-05,0.9877356790447888,0.08577706139143798,0.9988350110242902,7.8e-05,0.9987571018934303
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.0365949999999999,0.0001,-0.003401,1.097,0.097,-0.087,5942,4.393512179949019,0.38867287158145575,-0.5367780272720285,680,7938496,13.81,0.046,0.9877356790447888,0.01014702039228628,0.9998727169409944,0.046,0.9538785719617087
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.842,0.036,-0.034,5487,1.1717799601057135,0.06154965140900325,-0.04958795833264916,1793,6362874,0.975,0.00027,0.9877356790447888,0.030967891725650884,0.9996031958201675,0.00027,0.999333302957296
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.221,0.107,-0.097,5776,1.6806457457997734,0.16587171796605846,-0.1496004977145607,1523,3660924,4.242,0.001,0.9877356790447888,0.07296745540086051,0.9990226795501128,0.001,0.9980236568705627
10724369,K01302.01,1,CANDIDATE,1.0,55.6391882,38.47574,3.13,0.97,-0.32,0.0298029999999999,0.002837,-0.003148,0.991,0.077,-0.07,5949,3.232340419094502,0.39717890115074167,-0.41072933650544813,1358,10724369,55.639,0.0012,0.9877356790447888,0.02631976550622474,0.999664364084458,0.0012,0.9984647668475567
10730034,K01305.01,1,CANDIDATE,1.0,2.633852528,20.749485,1.38,0.07,-0.12,0.0144319999999999,0.0006349999999999,-0.000588,0.859,0.042,-0.04,5113,1.3567603387868015,0.08924328316574663,-0.08394769245593922,1361,10730034,2.634,1.1e-05,0.9877356790447888,0.043120470377146544,0.9994404627661249,1.1e-05,0.9994294689210345
10730034,K01305.02,2,CANDIDATE,0.978,6.18670882,11.189779,1.21,0.06,-0.1,0.01265,0.000839,-0.000473,0.859,0.042,-0.04,5113,1.18923352866222,0.09799108949078511,-0.07102105185660279,1362,10730034,6.187,0.00028,0.9877356790447888,0.10004966188871091,0.998619616223007,0.00028,0.9983400027304646
10713616,K01311.01,1,CANDIDATE,0.939,83.5781976,46.45182,6.63,0.88,-2.06,0.023697,0.003251,-0.000729,1.077,0.047,-0.044,6065,2.7931388628397933,0.40211133598118787,-0.14284532973884895,1406,10713616,83.578,0.044,0.9877356790447874,0.022734093010271888,0.9997111531405003,0.044,0.9557238624023182
6631721,K00160.01,1,CANDIDATE,1.0,13.73808249,63.54221999999999,3.84,1.09,-0.73,0.029865,0.000405,-0.001208,1.11,0.083,-0.075,6375,3.6280139936760634,0.27570921210499794,-0.2857040257593567,368,6631721,13.738,0.42,0.9877356782010298,0.0013371221607684123,0.9999833752556344,0.42,0.579990357648268
